student_id,tipo_factorizacion,dificultad,tiempo_respuesta,intentos,tipo_error
1,diferencia_cuadrados,1,29.92,1,signo
2,factor_comun,2,50.0,1,procedimiento
3,diferencia_cuadrados,5,33.18,1,signo
4,trinomio_general,1,22.05,3,identificacion
5,diferencia_cuadrados,5,72.08,3,identificacion
6,trinomio_general,2,54.19,2,signo
7,diferencia_cuadrados,2,69.69,1,procedimiento
8,trinomio_cuadrado_perfecto,3,53.04,1,procedimiento
9,trinomio_cuadrado_perfecto,1,52.39,2,identificacion
10,diferencia_cuadrados,3,105.97,1,signo
11,trinomio_cuadrado_perfecto,1,44.39,1,procedimiento
12,diferencia_cuadrados,4,59.39,1,identificacion
13,trinomio_cuadrado_perfecto,5,131.31,3,procedimiento
14,trinomio_cuadrado_perfecto,5,81.15,3,identificacion
15,diferencia_cuadrados,1,64.39,2,procedimiento
16,trinomio_cuadrado_perfecto,1,51.13,1,identificacion
17,diferencia_cuadrados,4,93.4,1,identificacion
18,trinomio_cuadrado_perfecto,2,52.96,1,identificacion
19,factor_comun,3,20.04,2,signo
20,diferencia_cuadrados,5,77.16,4,procedimiento
21,factor_comun,2,50.82,1,procedimiento
22,trinomio_cuadrado_perfecto,5,51.93,1,identificacion
23,trinomio_cuadrado_perfecto,1,8.0,1,signo
24,diferencia_cuadrados,3,84.82,2,procedimiento
25,diferencia_cuadrados,2,41.72,1,signo
26,trinomio_cuadrado_perfecto,2,96.05,1,identificacion
27,trinomio_general,4,40.77,2,procedimiento
28,trinomio_cuadrado_perfecto,5,148.06,1,procedimiento
29,trinomio_general,3,113.48,2,identificacion
30,trinomio_general,1,23.29,1,procedimiento
31,factor_comun,2,43.67,1,procedimiento
32,trinomio_general,5,107.05,4,identificacion
33,trinomio_general,5,123.73,3,procedimiento
34,diferencia_cuadrados,1,21.81,1,procedimiento
35,trinomio_cuadrado_perfecto,3,26.26,1,identificacion
36,trinomio_general,2,49.06,1,signo
37,trinomio_cuadrado_perfecto,5,120.05,1,identificacion
38,diferencia_cuadrados,3,92.87,2,signo
39,factor_comun,2,28.35,2,procedimiento
40,factor_comun,5,60.39,1,procedimiento
41,diferencia_cuadrados,5,128.41,2,procedimiento
42,diferencia_cuadrados,1,54.63,1,identificacion
43,trinomio_cuadrado_perfecto,2,82.62,1,procedimiento
44,diferencia_cuadrados,1,31.34,1,procedimiento
45,diferencia_cuadrados,5,60.44,1,procedimiento
46,factor_comun,4,84.69,4,procedimiento
47,factor_comun,3,50.04,4,identificacion
48,trinomio_general,2,76.14,2,procedimiento
49,factor_comun,3,62.35,3,procedimiento
50,trinomio_cuadrado_perfecto,4,69.46,2,identificacion
51,trinomio_general,1,63.91,1,procedimiento
52,diferencia_cuadrados,5,89.64,2,identificacion
53,factor_comun,1,55.94,1,procedimiento
54,diferencia_cuadrados,2,46.09,2,signo
55,diferencia_cuadrados,3,109.45,2,procedimiento
56,factor_comun,3,11.81,2,identificacion
57,factor_comun,5,52.83,1,identificacion
58,trinomio_general,2,155.35,3,procedimiento
59,factor_comun,1,38.65,1,procedimiento
60,trinomio_general,3,150.15,1,identificacion
61,diferencia_cuadrados,1,74.61,1,identificacion
62,trinomio_cuadrado_perfecto,1,37.03,1,identificacion
63,factor_comun,5,55.05,2,procedimiento
64,trinomio_general,2,31.7,1,procedimiento
65,diferencia_cuadrados,4,113.43,2,identificacion
66,diferencia_cuadrados,1,67.24,3,identificacion
67,diferencia_cuadrados,1,26.17,1,identificacion
68,factor_comun,2,62.93,1,procedimiento
69,trinomio_general,2,76.33,3,procedimiento
70,factor_comun,4,107.03,4,identificacion
71,trinomio_cuadrado_perfecto,4,88.67,1,procedimiento
72,trinomio_general,2,64.09,2,signo
73,diferencia_cuadrados,5,63.83,1,procedimiento
74,diferencia_cuadrados,3,47.69,4,procedimiento
75,trinomio_general,5,73.43,1,procedimiento
76,diferencia_cuadrados,5,87.04,2,signo
77,factor_comun,1,38.14,1,procedimiento
78,factor_comun,4,73.14,1,identificacion
79,factor_comun,5,51.69,1,procedimiento
80,diferencia_cuadrados,4,82.36,3,procedimiento
81,trinomio_cuadrado_perfecto,3,43.49,2,identificacion
82,trinomio_cuadrado_perfecto,2,47.56,1,signo
83,factor_comun,3,81.19,3,procedimiento
84,diferencia_cuadrados,1,11.32,2,signo
85,diferencia_cuadrados,1,32.3,1,signo
86,trinomio_cuadrado_perfecto,2,64.07,1,identificacion
87,diferencia_cuadrados,2,65.97,1,signo
88,factor_comun,4,40.24,1,identificacion
89,trinomio_cuadrado_perfecto,5,40.14,2,identificacion
90,diferencia_cuadrados,5,17.9,2,signo
91,diferencia_cuadrados,2,57.98,4,procedimiento
92,diferencia_cuadrados,5,100.01,3,procedimiento
93,trinomio_cuadrado_perfecto,5,62.31,4,procedimiento
94,trinomio_cuadrado_perfecto,2,8.0,1,signo
95,trinomio_cuadrado_perfecto,5,46.94,2,identificacion
96,diferencia_cuadrados,1,18.87,1,procedimiento
97,trinomio_cuadrado_perfecto,1,52.83,2,signo
98,trinomio_cuadrado_perfecto,2,55.04,2,identificacion
99,trinomio_general,5,97.25,3,procedimiento
100,factor_comun,5,79.68,2,identificacion
101,factor_comun,4,102.8,2,procedimiento
102,trinomio_cuadrado_perfecto,3,30.81,2,identificacion
103,diferencia_cuadrados,3,23.84,1,procedimiento
104,factor_comun,1,48.45,1,signo
105,trinomio_general,5,144.09,1,procedimiento
106,factor_comun,2,49.36,1,signo
107,factor_comun,4,68.73,1,procedimiento
108,trinomio_cuadrado_perfecto,4,91.73,1,identificacion
109,factor_comun,3,48.72,2,procedimiento
110,diferencia_cuadrados,4,91.04,3,procedimiento
111,trinomio_general,2,79.84,2,procedimiento
112,trinomio_cuadrado_perfecto,3,89.47,1,identificacion
113,factor_comun,2,50.64,2,signo
114,trinomio_general,3,149.68,1,procedimiento
115,trinomio_cuadrado_perfecto,3,40.55,1,procedimiento
116,trinomio_general,5,120.31,1,identificacion
117,factor_comun,5,161.56,3,procedimiento
118,trinomio_cuadrado_perfecto,1,48.2,2,identificacion
119,trinomio_general,3,73.85,1,identificacion
120,diferencia_cuadrados,4,75.07,1,signo
121,factor_comun,3,25.68,4,identificacion
122,diferencia_cuadrados,5,114.73,3,procedimiento
123,factor_comun,3,84.41,4,procedimiento
124,trinomio_cuadrado_perfecto,5,87.87,1,identificacion
125,diferencia_cuadrados,3,25.77,1,signo
126,trinomio_general,3,77.45,2,procedimiento
127,factor_comun,2,51.29,1,procedimiento
128,trinomio_general,2,88.19,3,procedimiento
129,diferencia_cuadrados,3,8.0,1,procedimiento
130,trinomio_general,5,61.43,1,signo
131,trinomio_general,4,111.8,1,procedimiento
132,factor_comun,1,55.67,3,procedimiento
133,trinomio_cuadrado_perfecto,1,59.34,1,procedimiento
134,factor_comun,3,27.75,1,procedimiento
135,factor_comun,2,49.21,1,signo
136,trinomio_general,5,97.23,1,procedimiento
137,trinomio_general,5,59.33,2,procedimiento
138,trinomio_general,4,85.62,1,procedimiento
139,diferencia_cuadrados,1,102.21,3,identificacion
140,factor_comun,2,22.63,2,signo
141,trinomio_general,1,120.93,2,procedimiento
142,diferencia_cuadrados,4,39.19,1,identificacion
143,trinomio_general,5,49.25,3,identificacion
144,trinomio_general,5,157.81,1,procedimiento
145,trinomio_general,5,94.96,3,procedimiento
146,trinomio_general,4,197.04,2,procedimiento
147,trinomio_cuadrado_perfecto,5,49.12,1,procedimiento
148,factor_comun,3,39.57,1,procedimiento
149,trinomio_cuadrado_perfecto,2,104.6,1,identificacion
150,trinomio_cuadrado_perfecto,5,89.48,1,identificacion
151,factor_comun,2,21.33,1,identificacion
152,factor_comun,2,15.92,4,procedimiento
153,trinomio_general,3,50.53,4,identificacion
154,trinomio_general,1,108.98,1,procedimiento
155,diferencia_cuadrados,5,100.98,1,signo
156,diferencia_cuadrados,3,43.07,2,signo
157,trinomio_general,4,18.24,2,identificacion
158,factor_comun,4,47.34,2,procedimiento
159,trinomio_general,4,137.06,4,identificacion
160,trinomio_general,2,117.29,1,identificacion
161,diferencia_cuadrados,4,66.14,1,signo
162,diferencia_cuadrados,1,86.44,3,identificacion
163,factor_comun,4,38.33,3,identificacion
164,trinomio_cuadrado_perfecto,4,103.02,2,procedimiento
165,trinomio_general,3,24.27,1,procedimiento
166,trinomio_cuadrado_perfecto,4,72.16,2,identificacion
167,diferencia_cuadrados,4,121.48,3,procedimiento
168,diferencia_cuadrados,3,99.25,1,signo
169,diferencia_cuadrados,1,31.92,1,signo
170,factor_comun,2,40.47,2,procedimiento
171,factor_comun,2,37.73,1,procedimiento
172,diferencia_cuadrados,5,102.95,2,identificacion
173,trinomio_general,3,125.9,1,procedimiento
174,diferencia_cuadrados,2,40.27,2,identificacion
175,diferencia_cuadrados,5,88.66,3,identificacion
176,trinomio_general,4,41.37,1,identificacion
177,factor_comun,1,37.13,2,procedimiento
178,trinomio_cuadrado_perfecto,5,77.97,2,identificacion
179,diferencia_cuadrados,3,101.86,3,identificacion
180,trinomio_cuadrado_perfecto,1,34.56,3,identificacion
181,trinomio_cuadrado_perfecto,1,16.52,1,procedimiento
